Animal Id,Animal Type,Source Id,Council District,Intake Type,Intake Total,Staff Id,Intake Date,Intake Condition,Outcome Type,Outcome Date,Outcome Condition,Chip Status,Animal Origin,Month,Year
A1126276,DOG,P9991710,9,CONFISCATED,1,CVB1710,08/07/2021,APP INJ,EUTHANIZED,08/24/2021,APP INJ,SCAN NO CHIP,FIELD,AUG.2021,FY2021
A1090715,DOG,P9998445,3,KEEPSAFE,1,KCB8445,08/21/2021,APP WNL,RETURNED TO OWNER,08/24/2021,APP WNL,SCAN CHIP,FIELD,AUG.2021,FY2021
A1127798,CAT,P0967925,2,STRAY,1,CBM,08/18/2021,APP SICK,ADOPTION,08/24/2021,APP SICK,SCAN CHIP,OVER THE COUNTER,AUG.2021,FY2021
A1127065,DOG,P0805833,1,STRAY,1,CBU,08/07/2021,APP WNL,ADOPTION,08/24/2021,APP WNL,SCAN NO CHIP,OVER THE COUNTER,AUG.2021,FY2021
A1126125,DOG,P0965648,,STRAY,1,WEB,07/19/2021,NORMAL,LOST EXP,08/24/2021,,,,JUL.2021,FY2021
A1129386,DOG,P0970297,,STRAY,1,WEB,09/11/2021,NORMAL,LOST EXP,10/14/2021,,,,SEP.2021,FY2021
A1129576,CAT,P0881905,,TREATMENT,1,NGD,09/23/2021,APP WNL,TREATMENT,09/23/2021,APP WNL,SCAN CHIP,OVER THE COUNTER,SEP.2021,FY2021
A1130109,CAT,P0971394,3,STRAY,1,JJV,09/24/2021,APP WNL,FOSTER,10/08/2021,UNDERAGE,SCAN NO CHIP,OVER THE COUNTER,SEP.2021,FY2021
A1128083,CAT,P0968377,2,STRAY,1,JCB,08/23/2021,APP SICK,EUTHANIZED,08/23/2021,CRITICAL,SCAN NO CHIP,OVER THE COUNTER,AUG.2021,FY2021
A1130202,DOG,P9998470,14,STRAY,1,BHB8470,09/25/2021,APP WNL,ADOPTION,10/14/2021,APP WNL,SCAN NO CHIP,FIELD,SEP.2021,FY2021
A1128092,WILDLIFE,P9991753,14,WILDLIFE,1,JQS1753,08/24/2021,APP WNL,WILDLIFE,08/24/2021,APP WNL,WILDLIFE - UNABLE TO SCAN,FIELD,AUG.2021,FY2021
A1128114,DOG,P9991574,4,STRAY,1,JCB1574,08/24/2021,APP INJ,EUTHANIZED,08/24/2021,CRITICAL,SCAN NO CHIP,FIELD,AUG.2021,FY2021
A1128828,CAT,P0969464,2,STRAY,1,CBM,09/04/2021,APP SICK,FOSTER,10/09/2021,UNDERAGE,SCAN NO CHIP,OVER THE COUNTER,SEP.2021,FY2021
A1130102,CAT,P0971394,3,STRAY,1,JJV,09/24/2021,APP WNL,FOSTER,10/08/2021,UNDERAGE,SCAN NO CHIP,OVER THE COUNTER,SEP.2021,FY2021
A1126790,DOG,P0966600,7,STRAY,1,JCB1574,08/04/2021,APP SICK,FOSTER,08/16/2021,APP WNL,SCAN NO CHIP,FIELD,AUG.2021,FY2021
A1128016,CAT,P0968242,2,STRAY,1,SRM,08/21/2021,UNDERAGE,EUTHANIZED,08/24/2021,CRITICAL,SCAN NO CHIP,FIELD,AUG.2021,FY2021
A1127379,DOG,P9991770,2,STRAY,1,VJD1770,08/11/2021,APP WNL,ADOPTION,08/24/2021,APP WNL,SCAN NO CHIP,FIELD,AUG.2021,FY2021
A1130365,DOG,P0551776,8,CONFISCATED,1,JOB1195,09/28/2021,APP WNL,EUTHANIZED,10/14/2021,APP WNL,SCAN NO CHIP,FIELD,SEP.2021,FY2021
A1130082,CAT,P0971365,6,STRAY,1,CBM,09/24/2021,APP WNL,ADOPTION,10/14/2021,APP WNL,SCAN NO CHIP,OVER THE COUNTER,SEP.2021,FY2021
A1130412,DOG,P0971839,5,STRAY,1,INA,09/29/2021,APP WNL,ADOPTION,10/14/2021,APP WNL,SCAN NO CHIP,OVER THE COUNTER,SEP.2021,FY2021
A1129341,CAT,P9991770,11,STRAY,1,VJD1770,09/12/2021,APP WNL,FOSTER,09/30/2021,UNDERAGE,SCAN NO CHIP,FIELD,SEP.2021,FY2021
A1100726,DOG,P0929089,,OWNER SURRENDER,1,CBM,09/01/2021,APP WNL,ADOPTION,10/14/2021,APP WNL,SCAN CHIP,OVER THE COUNTER,SEP.2021,FY2021
A1129377,DOG,P0970289,,STRAY,1,WEB,09/10/2021,NORMAL,LOST EXP,10/14/2021,,,,SEP.2021,FY2021
A1130413,DOG,P0971839,5,STRAY,1,INA,09/29/2021,APP WNL,ADOPTION,10/14/2021,APP WNL,SCAN NO CHIP,OVER THE COUNTER,SEP.2021,FY2021
A1127557,DOG,P0772600,4,STRAY,1,CBU,08/14/2021,APP WNL,ADOPTION,08/24/2021,APP WNL,SCAN NO CHIP,OVER THE COUNTER,AUG.2021,FY2021
A1130105,CAT,P0971394,3,STRAY,1,JJV,09/24/2021,APP WNL,FOSTER,10/08/2021,UNDERAGE,SCAN NO CHIP,OVER THE COUNTER,SEP.2021,FY2021
A1130177,DOG,P0971474,4,STRAY,1,FEE,09/25/2021,APP WNL,ADOPTION,10/14/2021,APP WNL,SCAN CHIP,OVER THE COUNTER,SEP.2021,FY2021
A1128829,CAT,P0969464,2,STRAY,1,CBM,09/04/2021,APP SICK,FOSTER,10/09/2021,UNDERAGE,SCAN NO CHIP,OVER THE COUNTER,SEP.2021,FY2021
A1129888,DOG,P9991748,8,STRAY,1,MMK1748,09/21/2021,APP WNL,ADOPTION,10/14/2021,APP WNL,SCAN CHIP,FIELD,SEP.2021,FY2021
A1129404,DOG,P0970332,,STRAY,1,WEB,09/13/2021,NORMAL,LOST EXP,10/14/2021,,,,SEP.2021,FY2021
A1130100,CAT,P0971394,3,STRAY,1,JJV,09/24/2021,APP WNL,FOSTER,10/08/2021,UNDERAGE,SCAN NO CHIP,OVER THE COUNTER,SEP.2021,FY2021
A1130300,CAT,P0971664,6,STRAY,1,JCZ,09/27/2021,APP SICK,FOSTER,10/09/2021,UNDERAGE,SCAN NO CHIP,OVER THE COUNTER,SEP.2021,FY2021
A1127481,DOG,P0967449,,OWNER SURRENDER,1,JCB,08/13/2021,APP WNL,ADOPTION,08/24/2021,APP WNL,SCAN NO CHIP,OVER THE COUNTER,AUG.2021,FY2021
A1127338,DOG,P9991701,10,CONFISCATED,1,MLM1701,08/11/2021,APP WNL,EUTHANIZED,08/24/2021,APP WNL,SCAN NO CHIP,FIELD,AUG.2021,FY2021
A1128731,DOG,P9991768,8,STRAY,1,ERB1768,09/03/2021,APP WNL,ADOPTION,10/14/2021,APP WNL,SCAN NO CHIP,AGGOPS,SEP.2021,FY2021
A1128064,DOG,P0968341,10,STRAY,1,JTB8469,08/23/2021,APP WNL,RETURNED TO OWNER,08/24/2021,APP WNL,SCAN CHIP,FIELD,AUG.2021,FY2021
A1129339,CAT,P9991770,11,STRAY,1,VJD1770,09/12/2021,APP WNL,FOSTER,09/30/2021,UNDERAGE,SCAN NO CHIP,FIELD,SEP.2021,FY2021
